City,District,total_votes,CHP_votes,CHP_pct,AKP_votes,AKP_pct,DEM_votes,DEM_pct,MHP_votes,MHP_pct,YRP_votes,YRP_pct,ZP_votes,ZP_pct,IYIP_votes,IYIP_pct,TIP_votes,TIP_pct,BBP_votes,BBP_pct,OTH_votes,OTH_pct
Van,Çatak,9083.0,723.0,7.96,2575.0,28.35,4778.0,52.6,241.0,2.65,397.0,4.37,74.0,0.81,0.0,0.0,0.0,0.0,39.0,0.43,256.0,2.82
Van,Özalp,24070.0,1213.0,5.04,3312.0,13.76,17950.0,74.57,497.0,2.06,253.0,1.05,177.0,0.74,0.0,0.0,0.0,0.0,120.0,0.5,548.0,2.28
Van,İpekyolu,182284.0,15194.0,8.34,46396.0,25.45,96756.0,53.08,10106.0,5.54,7020.0,3.85,1288.0,0.71,0.0,0.0,0.0,0.0,1294.0,0.71,4230.0,2.32
Yalova,Altınova,19738.0,5122.0,25.95,8059.0,40.83,1184.0,6.0,1852.0,9.38,589.0,2.98,503.0,2.55,1406.0,7.12,190.0,0.96,108.0,0.55,725.0,3.67
Yalova,Armutlu,7456.0,1521.0,20.4,2878.0,38.6,402.0,5.39,1130.0,15.16,181.0,2.43,141.0,1.89,875.0,11.74,63.0,0.84,34.0,0.46,231.0,3.1
Yalova,Merkez,88534.0,26123.0,29.51,29576.0,33.41,5407.0,6.11,9250.0,10.45,1914.0,2.16,2004.0,2.26,7939.0,8.97,902.0,1.02,753.0,0.85,4666.0,5.27
Yalova,Termal,3934.0,777.0,19.75,1634.0,41.54,37.0,0.94,723.0,18.38,125.0,3.18,84.0,2.14,368.0,9.35,30.0,0.76,24.0,0.61,132.0,3.36
Yalova,Çiftlikköy,31261.0,9232.0,29.53,10212.0,32.67,1516.0,4.85,3394.0,10.86,784.0,2.51,926.0,2.96,3120.0,9.98,358.0,1.15,317.0,1.01,1402.0,4.48
Yalova,Çınarcık,23609.0,7183.0,30.42,6144.0,26.02,1354.0,5.74,3241.0,13.73,549.0,2.33,438.0,1.86,3070.0,13.0,287.0,1.22,168.0,0.71,1175.0,4.98
Yozgat,Akdağmadeni,22366.0,0.0,0.0,9935.0,44.42,35.0,0.16,5267.0,23.55,1490.0,6.66,264.0,1.18,4895.0,21.89,32.0,0.14,142.0,0.63,306.0,1.37
Yozgat,Aydıncık,6863.0,0.0,0.0,3297.0,48.04,10.0,0.15,1730.0,25.21,271.0,3.95,56.0,0.82,1334.0,19.44,13.0,0.19,52.0,0.76,100.0,1.46
Yozgat,Boğazlıyan,21582.0,0.0,0.0,7382.0,34.2,159.0,0.74,5239.0,24.27,606.0,2.81,340.0,1.58,7135.0,33.06,63.0,0.29,132.0,0.61,526.0,2.44
Yozgat,Kadışehri,6507.0,0.0,0.0,3065.0,47.1,7.0,0.11,1787.0,27.46,390.0,5.99,60.0,0.92,1031.0,15.84,7.0,0.11,56.0,0.86,104.0,1.6
Yozgat,Merkez,64943.0,0.0,0.0,25905.0,39.89,190.0,0.29,15516.0,23.89,2421.0,3.73,1004.0,1.55,16435.0,25.31,133.0,0.2,2241.0,3.45,1098.0,1.69
Yozgat,Saraykent,5952.0,0.0,0.0,3031.0,50.92,5.0,0.08,1667.0,28.01,283.0,4.75,47.0,0.79,728.0,12.23,3.0,0.05,54.0,0.91,134.0,2.25
Yozgat,Sarıkaya,18667.0,0.0,0.0,8161.0,43.72,79.0,0.42,5286.0,28.32,974.0,5.22,270.0,1.45,3207.0,17.18,21.0,0.11,347.0,1.86,322.0,1.72
Yozgat,Sorgun,50165.0,0.0,0.0,25326.0,50.49,103.0,0.21,10739.0,21.41,3387.0,6.75,569.0,1.13,8446.0,16.84,65.0,0.13,744.0,1.48,786.0,1.57
Yozgat,Yenifakılı,3811.0,0.0,0.0,1211.0,31.78,10.0,0.26,934.0,24.51,65.0,1.71,61.0,1.6,1410.0,37.0,24.0,0.63,21.0,0.55,75.0,1.97
Yozgat,Yerköy,22904.0,0.0,0.0,9596.0,41.9,225.0,0.98,4906.0,21.42,473.0,2.07,335.0,1.46,6655.0,29.06,57.0,0.25,240.0,1.05,417.0,1.82
Yozgat,Çandır,2755.0,0.0,0.0,942.0,34.19,4.0,0.15,901.0,32.7,36.0,1.31,49.0,1.78,750.0,27.22,1.0,0.04,15.0,0.54,57.0,2.07
